[2025-12-02 17:56:57] [DEBUG] Total discount to apply: 205
[2025-12-05 11:19:56] [DEBUG] Total discount to apply: 19.5
[2025-12-05 11:19:57] [DEBUG] Total discount to apply: 19.5
[2025-12-05 11:19:57] [DEBUG] Total discount to apply: 19.5
[2025-12-05 11:19:57] [DEBUG] Total discount to apply: 19.5
[2025-12-05 11:20:06] [DEBUG] Total discount to apply: 19.5
[2025-12-05 11:20:06] [DEBUG] Total discount to apply: 19.5
[2025-12-05 11:20:06] [DEBUG] Total discount to apply: 19.5
[2025-12-05 11:20:06] [DEBUG] Total discount to apply: 19.5
[2025-12-05 11:20:07] [DEBUG] Total discount to apply: 19.5
[2025-12-07 18:28:59] [DEBUG] Total discount to apply: 215
[2025-12-07 18:29:00] [DEBUG] Total discount to apply: 215
[2025-12-09 12:26:24] [DEBUG] Total discount to apply: 0
[2025-12-11 15:02:04] [DEBUG] Total discount to apply: 225
[2025-12-11 15:02:04] [DEBUG] Total discount to apply: 225
[2025-12-11 15:02:04] [DEBUG] Total discount to apply: 225
[2025-12-11 15:02:04] [DEBUG] Total discount to apply: 225
[2025-12-12 14:14:39] [DEBUG] Total discount to apply: 0
[2025-12-12 14:14:39] [DEBUG] Total discount to apply: 0
[2025-12-12 14:14:39] [DEBUG] Total discount to apply: 0
[2025-12-12 14:14:40] [DEBUG] Total discount to apply: 0
[2025-12-16 11:21:21] [DEBUG] Total discount to apply: 215
[2025-12-16 11:21:21] [DEBUG] Total discount to apply: 215
[2025-12-16 11:21:21] [DEBUG] Total discount to apply: 215
[2025-12-16 11:21:21] [DEBUG] Total discount to apply: 215
[2025-12-16 11:22:16] [DEBUG] Total discount to apply: 245
[2025-12-16 11:22:16] [DEBUG] Total discount to apply: 245
[2025-12-16 11:22:16] [DEBUG] Total discount to apply: 245
[2025-12-16 11:22:16] [DEBUG] Total discount to apply: 245
[2025-12-16 11:22:36] [DEBUG] Total discount to apply: 245
[2025-12-16 11:22:36] [DEBUG] Total discount to apply: 245
[2025-12-16 11:22:36] [DEBUG] Total discount to apply: 245
[2025-12-16 11:22:54] [DEBUG] Total discount to apply: 245
[2025-12-16 11:22:54] [DEBUG] Total discount to apply: 245
[2025-12-16 11:22:54] [DEBUG] Total discount to apply: 245
[2025-12-16 11:22:54] [DEBUG] Total discount to apply: 245
[2025-12-16 11:22:54] [DEBUG] Total discount to apply: 245
[2025-12-17 11:37:01] [DEBUG] Total discount to apply: 225
[2025-12-17 13:34:41] [DEBUG] Total discount to apply: 32.25
[2025-12-17 15:54:31] [DEBUG] Total discount to apply: 265
[2025-12-18 12:27:45] [DEBUG] Total discount to apply: 285
[2025-12-18 13:08:20] [DEBUG] Total discount to apply: 195
[2025-12-18 13:08:20] [DEBUG] Total discount to apply: 195
[2025-12-18 13:08:20] [DEBUG] Total discount to apply: 195
[2025-12-18 18:08:33] [DEBUG] Total discount to apply: 215
[2025-12-20 11:51:13] [DEBUG] Total discount to apply: 50
[2025-12-22 12:36:42] [DEBUG] Total discount to apply: 21.5
[2025-12-22 14:53:01] [DEBUG] Total discount to apply: 155
[2025-12-22 15:13:52] [DEBUG] Total discount to apply: 195
[2025-12-22 16:05:39] [DEBUG] Total discount to apply: 195
[2025-12-22 16:06:07] [DEBUG] Total discount to apply: 0
[2025-12-22 16:06:10] [DEBUG] Total discount to apply: 184
[2025-12-22 16:06:58] [DEBUG] Total discount to apply: 0
[2025-12-22 16:07:02] [DEBUG] Total discount to apply: 184
[2025-12-22 18:41:00] [DEBUG] Total discount to apply: 195
[2025-12-22 21:38:36] [DEBUG] Total discount to apply: 10
[2025-12-23 12:13:01] [DEBUG] Total discount to apply: 165
[2025-12-23 20:32:56] [DEBUG] Total discount to apply: 10
[2025-12-23 22:57:39] [DEBUG] Total discount to apply: 81.902
[2025-12-24 12:48:51] [DEBUG] Total discount to apply: 205
[2025-12-24 12:54:01] [DEBUG] Total discount to apply: 195
[2025-12-24 13:26:25] [DEBUG] Total discount to apply: 10
[2025-12-24 15:37:46] [DEBUG] Total discount to apply: 20.5
[2025-12-24 22:42:48] [DEBUG] Total discount to apply: 50
[2025-12-24 22:47:24] [DEBUG] Total discount to apply: 250
[2025-12-27 21:28:57] [DEBUG] Total discount to apply: 30
[2025-12-28 13:19:32] [DEBUG] Total discount to apply: 29.25
[2025-12-28 15:03:43] [DEBUG] Total discount to apply: 195
[2025-12-28 17:44:01] [DEBUG] Total discount to apply: 29.25
[2025-12-28 20:57:45] [DEBUG] Total discount to apply: 175
[2025-12-29 10:23:23] [DEBUG] Total discount to apply: 195
[2025-12-29 19:25:52] [DEBUG] Total discount to apply: 29.25
[2026-01-01 12:53:03] [DEBUG] Total discount to apply: 195
[2026-01-01 12:58:35] [DEBUG] Total discount to apply: 245
[2026-01-01 14:23:26] [DEBUG] Total discount to apply: 50
[2026-01-01 15:59:03] [DEBUG] Total discount to apply: 195
[2026-01-01 22:26:29] [DEBUG] Total discount to apply: 195
